,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,TCS.NS,AXISBANK.NS,KOTAKBANK.NS,BHARTIARTL.NS
2019-07-01,1242.7750244140625,1256.935546875,439.0,731.2999877929688,274.95001220703125,1556.6500244140625,2239.550048828125,810.4500122070312,1481.199951171875,348.5
2019-07-02,1247.5,1266.494873046875,436.75,740.0,273.8500061035156,1563.8499755859375,2252.10009765625,802.5999755859375,1471.5,353.6000061035156
2019-07-03,1244.824951171875,1270.5068359375,435.95001220703125,731.2999877929688,276.70001220703125,1578.050048828125,2237.64990234375,806.2000122070312,1475.0,353.20001220703125
2019-07-04,1241.9000244140625,1271.9432373046875,436.20001220703125,733.7999877929688,277.6499938964844,1571.699951171875,2242.64990234375,808.8499755859375,1497.800048828125,362.75
2019-07-05,1236.199951171875,1251.4871826171875,436.3500061035156,718.0,279.45001220703125,1558.3499755859375,2163.10009765625,806.0999755859375,1517.199951171875,364.79998779296875
2019-07-08,1204.800048828125,1240.293212890625,425.8999938964844,717.5999755859375,277.45001220703125,1490.3499755859375,2175.39990234375,782.9000244140625,1475.300048828125,356.3999938964844
2019-07-09,1189.574951171875,1268.079833984375,428.5,715.5,273.1000061035156,1526.5999755859375,2133.35009765625,786.2000122070312,1462.8499755859375,362.29998779296875
2019-07-10,1194.375,1266.841552734375,430.8999938964844,717.25,273.1499938964844,1499.550048828125,2108.199951171875,769.25,1475.8499755859375,358.54998779296875
2019-07-11,1203.574951171875,1269.5162353515625,426.54998779296875,721.5,275.6499938964844,1495.199951171875,2102.550048828125,766.4000244140625,1484.949951171875,360.75
2019-07-12,1196.949951171875,1268.47607421875,427.04998779296875,726.75,275.04998779296875,1466.8499755859375,2107.60009765625,755.7999877929688,1483.6500244140625,356.1000061035156
2019-07-15,1197.375,1264.117431640625,422.29998779296875,779.3499755859375,270.95001220703125,1440.5999755859375,2145.699951171875,749.75,1508.0999755859375,350.6000061035156
2019-07-16,1195.5999755859375,1280.8587646484375,424.6000061035156,784.8499755859375,271.95001220703125,1461.199951171875,2106.0,761.0499877929688,1501.449951171875,350.75
2019-07-17,1198.7249755859375,1269.8134765625,424.70001220703125,794.1500244140625,272.8999938964844,1455.449951171875,2117.25,752.5999755859375,1534.5999755859375,346.25
2019-07-18,1205.949951171875,1250.001220703125,418.6499938964844,792.7000122070312,273.0,1435.199951171875,2065.949951171875,740.4000244140625,1538.25,342.5
2019-07-19,1187.824951171875,1237.2718505859375,410.29998779296875,785.4000244140625,268.29998779296875,1411.550048828125,2076.949951171875,729.25,1498.9000244140625,339.95001220703125
2019-07-22,1148.625,1268.47607421875,411.5,784.4000244140625,264.3999938964844,1403.699951171875,2109.89990234375,727.4500122070312,1454.300048828125,342.54998779296875
2019-07-23,1131.75,1261.5914306640625,411.95001220703125,790.0499877929688,270.6499938964844,1409.5,2112.449951171875,728.0,1494.0,343.6000061035156
2019-07-24,1140.449951171875,1247.277099609375,408.5,786.2999877929688,270.8500061035156,1387.3499755859375,2096.800048828125,712.2999877929688,1497.199951171875,338.8999938964844
2019-07-25,1143.0250244140625,1219.936279296875,409.0,794.5,267.8500061035156,1372.4000244140625,2127.89990234375,723.1500244140625,1485.050048828125,339.0
2019-07-26,1138.6500244140625,1202.4024658203125,415.75,787.0,270.3999938964844,1392.1500244140625,2109.050048828125,729.8499755859375,1511.8499755859375,334.8999938964844
2019-07-29,1122.1500244140625,1199.5792236328125,429.3500061035156,791.4500122070312,267.75,1371.5,2130.0,720.25,1502.5,334.54998779296875
2019-07-30,1126.125,1169.8114013671875,425.3500061035156,792.7000122070312,268.8999938964844,1376.3499755859375,2179.14990234375,707.5999755859375,1498.699951171875,345.75
2019-07-31,1125.824951171875,1155.2989501953125,424.6000061035156,793.6500244140625,270.20001220703125,1387.300048828125,2205.699951171875,674.0999755859375,1519.550048828125,337.6000061035156
2019-08-01,1110.9000244140625,1169.16748046875,417.04998779296875,768.8499755859375,267.54998779296875,1358.050048828125,2180.050048828125,669.2999877929688,1495.800048828125,323.8999938964844
2019-08-02,1107.175048828125,1173.22900390625,410.6000061035156,775.5999755859375,264.5,1370.25,2205.300048828125,673.8499755859375,1507.5999755859375,343.54998779296875
2019-08-05,1089.625,1132.6138916015625,402.6499938964844,776.7000122070312,259.79998779296875,1345.800048828125,2248.60009765625,662.4500122070312,1460.0999755859375,357.70001220703125
2019-08-06,1094.550048828125,1117.705322265625,410.25,774.4500122070312,258.8999938964844,1377.5,2214.89990234375,679.0,1485.300048828125,368.45001220703125
2019-08-07,1092.0,1098.9827880859375,408.3999938964844,776.0999755859375,253.64999389648438,1360.050048828125,2213.449951171875,659.9500122070312,1476.300048828125,366.1000061035156
2019-08-08,1116.574951171875,1141.5294189453125,414.3999938964844,788.75,257.75,1360.6500244140625,2258.10009765625,660.0999755859375,1502.75,372.1499938964844
2019-08-09,1141.0,1151.1878662109375,420.1499938964844,789.8499755859375,254.1999969482422,1364.5999755859375,2246.25,660.7999877929688,1532.0999755859375,371.1499938964844
2019-08-13,1110.175048828125,1262.7801513671875,410.25,764.75,246.3000030517578,1313.25,2199.449951171875,649.4500122070312,1511.4000244140625,351.6499938964844
2019-08-14,1114.7249755859375,1276.1533203125,417.29998779296875,774.7999877929688,248.75,1333.699951171875,2204.39990234375,663.2000122070312,1491.800048828125,361.20001220703125
2019-08-16,1113.8499755859375,1265.9996337890625,418.95001220703125,774.5499877929688,253.0,1335.25,2165.10009765625,675.6500244140625,1498.949951171875,361.54998779296875
2019-08-19,1103.425048828125,1280.4625244140625,423.3999938964844,777.6500244140625,251.5500030517578,1352.199951171875,2163.0,685.0,1496.3499755859375,361.0
2019-08-20,1110.300048828125,1263.9688720703125,416.8999938964844,792.75,246.5,1342.5,2186.75,672.3499755859375,1505.0999755859375,358.04998779296875
2019-08-21,1112.925048828125,1259.0157470703125,412.04998779296875,799.4500122070312,241.4499969482422,1310.6500244140625,2186.199951171875,664.7000122070312,1505.75,354.8999938964844
2019-08-22,1087.050048828125,1235.04296875,399.1000061035156,795.7000122070312,240.0500030517578,1294.25,2216.0,661.1500244140625,1478.25,352.75
2019-08-23,1081.3499755859375,1263.8697509765625,395.3999938964844,802.2000122070312,236.10000610351562,1286.5,2247.699951171875,663.9000244140625,1470.199951171875,356.3999938964844
2019-08-26,1128.074951171875,1254.90478515625,411.6499938964844,802.5499877929688,242.5,1333.6500244140625,2276.300048828125,683.7000122070312,1512.800048828125,360.6499938964844
2019-08-27,1129.9749755859375,1262.879150390625,418.6000061035156,784.6500244140625,245.5,1356.949951171875,2236.5,682.9500122070312,1501.550048828125,348.29998779296875
2019-08-28,1123.75,1251.4376220703125,412.95001220703125,802.5,245.9499969482422,1344.6500244140625,2239.25,678.2000122070312,1483.6500244140625,345.79998779296875
2019-08-29,1113.4749755859375,1230.0899658203125,404.3999938964844,806.9500122070312,241.1999969482422,1342.449951171875,2233.449951171875,661.1500244140625,1450.8499755859375,343.5
2019-08-30,1113.9749755859375,1236.826171875,409.6499938964844,814.9000244140625,245.64999389648438,1328.25,2259.60009765625,663.9000244140625,1431.449951171875,346.79998779296875
2019-09-03,1105.4749755859375,1195.0718994140625,392.1499938964844,814.25,241.5500030517578,1294.4000244140625,2251.60009765625,645.7000122070312,1414.300048828125,336.8500061035156
2019-09-04,1123.875,1189.8712158203125,397.5,821.2999877929688,243.25,1308.050048828125,2245.39990234375,647.2999877929688,1426.449951171875,345.70001220703125
2019-09-05,1117.574951171875,1187.34521484375,389.0,834.0499877929688,244.25,1320.300048828125,2215.300048828125,649.5999755859375,1410.1500244140625,347.70001220703125
2019-09-06,1122.949951171875,1211.020751953125,391.3500061035156,840.1500244140625,243.89999389648438,1328.6500244140625,2197.5,671.0999755859375,1441.550048828125,349.25
2019-09-09,1124.800048828125,1210.7235107421875,395.45001220703125,829.0999755859375,245.5,1357.0,2182.85009765625,671.5499877929688,1471.300048828125,356.45001220703125
2019-09-11,1125.6500244140625,1222.8089599609375,394.6000061035156,820.0999755859375,243.75,1363.6500244140625,2154.0,681.7000122070312,1475.199951171875,355.1000061035156
2019-09-12,1135.425048828125,1198.98486328125,402.70001220703125,816.4000244140625,240.75,1362.4000244140625,2133.60009765625,662.9000244140625,1457.550048828125,347.54998779296875
2019-09-13,1128.7249755859375,1214.0916748046875,413.3999938964844,829.2999877929688,239.89999389648438,1363.449951171875,2141.949951171875,674.25,1484.25,343.04998779296875
2019-09-16,1122.074951171875,1199.381103515625,412.1499938964844,827.7000122070312,239.39999389648438,1343.5999755859375,2150.0,670.9000244140625,1474.949951171875,344.0
2019-09-17,1105.675048828125,1186.2059326171875,400.6499938964844,831.25,237.1999969482422,1313.699951171875,2122.64990234375,640.4500122070312,1448.300048828125,339.8500061035156
