,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS,LUPIN.NS,AUROPHARMA.NS,ALKEM.NS,TORNTPHARM.NS,ZYDUSLIFE.NS
2019-07-01,405.3500061035156,2654.85009765625,555.7999877929688,1610.199951171875,772.1500244140625,615.3499755859375,1676.25,776.2000122070312,240.35000610351562
2019-07-02,395.54998779296875,2627.64990234375,555.3499755859375,1617.25,761.0,610.9000244140625,1710.75,776.0999755859375,235.89999389648438
2019-07-03,395.70001220703125,2596.699951171875,553.25,1630.5999755859375,752.7000122070312,596.2000122070312,1716.8499755859375,776.4249877929688,237.10000610351562
2019-07-04,392.1000061035156,2602.39990234375,551.5499877929688,1619.800048828125,754.3499755859375,605.0999755859375,1726.4000244140625,772.5750122070312,236.75
2019-07-05,375.25,2600.949951171875,550.0,1610.800048828125,735.7000122070312,597.2000122070312,1737.4000244140625,762.5750122070312,228.6999969482422
2019-07-08,366.79998779296875,2595.699951171875,538.4500122070312,1575.6500244140625,734.0999755859375,586.7999877929688,1772.0,763.9749755859375,224.64999389648438
2019-07-09,386.3999938964844,2598.85009765625,548.7999877929688,1605.0999755859375,751.0499877929688,603.7999877929688,1772.949951171875,773.125,230.75
2019-07-10,392.20001220703125,2584.64990234375,544.9500122070312,1623.449951171875,760.1500244140625,597.0999755859375,1776.0999755859375,774.7000122070312,228.3000030517578
2019-07-11,398.1499938964844,2653.050048828125,552.4000244140625,1608.6500244140625,753.6500244140625,605.2999877929688,1794.199951171875,774.625,234.35000610351562
2019-07-12,407.70001220703125,2628.60009765625,556.7999877929688,1613.1500244140625,761.75,595.75,1800.8499755859375,778.25,236.1999969482422
2019-07-15,422.95001220703125,2627.60009765625,550.5499877929688,1614.4000244140625,765.0,575.5999755859375,1769.699951171875,775.2000122070312,238.3000030517578
2019-07-16,433.29998779296875,2676.5,553.5499877929688,1648.5999755859375,779.5499877929688,581.0999755859375,1776.5999755859375,802.7249755859375,245.10000610351562
2019-07-17,430.04998779296875,2666.300048828125,557.5499877929688,1651.949951171875,771.9500122070312,573.1500244140625,1749.8499755859375,792.8499755859375,240.85000610351562
2019-07-18,426.20001220703125,2655.550048828125,547.0,1641.9000244140625,756.1500244140625,569.9000244140625,1758.050048828125,772.5999755859375,231.14999389648438
2019-07-19,421.3500061035156,2613.14990234375,536.7000122070312,1624.4000244140625,747.3499755859375,552.4000244140625,1798.449951171875,757.7249755859375,228.39999389648438
2019-07-22,430.25,2632.5,530.9500122070312,1625.3499755859375,756.5,570.1500244140625,1797.9000244140625,750.4249877929688,235.89999389648438
2019-07-23,430.25,2599.35009765625,528.9000244140625,1619.0999755859375,756.4500122070312,561.75,1762.300048828125,733.9000244140625,235.75
2019-07-24,425.54998779296875,2599.050048828125,518.75,1604.0999755859375,738.0999755859375,548.3499755859375,1769.25,803.5,229.5500030517578
2019-07-25,437.1499938964844,2654.10009765625,536.6500244140625,1641.75,773.0499877929688,553.9000244140625,1815.1500244140625,812.0999755859375,230.1999969482422
2019-07-26,439.95001220703125,2704.949951171875,532.0999755859375,1666.699951171875,777.2999877929688,563.4500122070312,1815.1500244140625,836.875,234.14999389648438
2019-07-29,431.04998779296875,2653.949951171875,522.25,1653.25,762.25,551.1500244140625,1789.6500244140625,825.7000122070312,227.3000030517578
2019-07-30,410.3500061035156,2560.0,520.0,1658.449951171875,752.5999755859375,551.9500122070312,1760.4000244140625,826.7249755859375,220.0500030517578
2019-07-31,426.75,2574.60009765625,521.0999755859375,1633.75,764.7999877929688,571.25,1741.949951171875,835.4249877929688,227.8000030517578
2019-08-01,425.1000061035156,2533.75,512.4500122070312,1615.3499755859375,759.0499877929688,550.5999755859375,1715.5999755859375,833.9500122070312,226.3000030517578
2019-08-02,420.6499938964844,2529.199951171875,516.0999755859375,1598.800048828125,767.2999877929688,548.6500244140625,1680.3499755859375,836.625,225.3000030517578
2019-08-05,417.1499938964844,2514.699951171875,518.9000244140625,1577.550048828125,756.7000122070312,548.1500244140625,1674.800048828125,834.3499755859375,223.60000610351562
