,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2019-07-01,358.3500061035156,,511.3500061035156,24.350000381469727,,28.75,27.850000381469727,106.0,22.950000762939453,34.79999923706055
2019-07-02,356.3999938964844,,509.1000061035156,24.25,,29.75,26.899999618530273,106.94999694824219,22.950000762939453,34.79999923706055
2019-07-03,360.8999938964844,,513.5499877929688,24.200000762939453,,31.25,26.649999618530273,107.9000015258789,22.950000762939453,34.70000076293945
2019-07-04,356.45001220703125,,510.8999938964844,24.100000381469727,,31.549999237060547,26.899999618530273,107.75,22.899999618530273,34.70000076293945
2019-07-05,345.8999938964844,,482.25,23.850000381469727,,30.350000381469727,26.399999618530273,106.94999694824219,22.950000762939453,34.79999923706055
2019-07-08,334.6499938964844,,471.8500061035156,22.350000381469727,,28.299999237060547,24.700000762939453,106.25,21.850000381469727,34.400001525878906
2019-07-09,331.75,,469.1000061035156,22.899999618530273,,27.899999618530273,25.299999237060547,105.1500015258789,21.649999618530273,34.599998474121094
2019-07-10,332.75,,458.8500061035156,22.450000762939453,,26.149999618530273,24.450000762939453,107.6500015258789,21.700000762939453,34.599998474121094
2019-07-11,354.79998779296875,,467.0,22.75,,30.350000381469727,24.700000762939453,106.69999694824219,22.899999618530273,34.75
2019-07-12,350.70001220703125,,478.6499938964844,23.149999618530273,,31.100000381469727,25.200000762939453,106.0,24.450000762939453,34.650001525878906
2019-07-15,345.6000061035156,,474.1499938964844,23.5,,32.900001525878906,25.200000762939453,106.5,22.850000381469727,34.29999923706055
2019-07-16,346.25,,480.45001220703125,23.200000762939453,,32.95000076293945,25.649999618530273,105.0,21.850000381469727,34.29999923706055
2019-07-17,353.25,,480.29998779296875,23.100000381469727,,32.95000076293945,24.549999237060547,105.1500015258789,22.100000381469727,34.25
2019-07-18,360.1000061035156,,465.70001220703125,22.75,,34.150001525878906,23.25,105.44999694824219,21.299999237060547,34.25
2019-07-19,352.95001220703125,,460.3500061035156,21.799999237060547,,31.549999237060547,23.0,102.55000305175781,20.5,33.54999923706055
