,TATASTEEL.NS,ADANIENT.NS,JSWSTEEL.NS,HINDALCO.NS,APLAPOLLO.NS,VEDL.NS,JINDALSTEL.NS,JSL.NS,NMDC.NS,SAIL.NS
2019-07-01,50.69499969482422,154.10000610351562,275.75,208.89999389648438,155.94500732421875,174.0500030517578,140.0,35.400001525878906,114.9000015258789,51.099998474121094
2019-07-02,50.880001068115234,154.6999969482422,276.1499938964844,209.35000610351562,161.76499938964844,174.64999389648438,140.8000030517578,33.70000076293945,115.5999984741211,51.25
2019-07-03,51.029998779296875,155.60000610351562,277.3999938964844,208.6999969482422,164.0449981689453,172.6999969482422,144.1999969482422,32.75,118.3499984741211,51.70000076293945
2019-07-04,49.529998779296875,156.10000610351562,275.04998779296875,206.89999389648438,165.7899932861328,171.0500030517578,142.10000610351562,33.25,116.5,51.900001525878906
2019-07-05,47.834999084472656,147.3000030517578,266.6499938964844,198.89999389648438,161.0399932861328,163.64999389648438,134.10000610351562,32.70000076293945,110.5999984741211,48.349998474121094
2019-07-08,46.80500030517578,138.89999389648438,262.25,197.60000610351562,161.39500427246094,161.9499969482422,135.35000610351562,31.700000762939453,106.9000015258789,46.29999923706055
2019-07-09,46.845001220703125,141.14999389648438,262.3500061035156,197.89999389648438,159.7949981689453,161.5,135.85000610351562,31.799999237060547,109.1500015258789,46.900001525878906
2019-07-10,45.47999954223633,139.35000610351562,254.89999389648438,193.64999389648438,158.9199981689453,160.0,131.8000030517578,31.200000762939453,113.55000305175781,45.79999923706055
2019-07-11,46.20000076293945,141.0,267.29998779296875,198.4499969482422,157.5500030517578,163.64999389648438,133.89999389648438,31.649999618530273,110.05000305175781,46.75
2019-07-12,47.290000915527344,140.3000030517578,267.8999938964844,198.85000610351562,156.77999877929688,167.64999389648438,139.0500030517578,31.950000762939453,112.19999694824219,47.20000076293945
2019-07-15,46.83000183105469,137.9499969482422,270.95001220703125,200.14999389648438,154.6699981689453,166.75,141.25,31.700000762939453,112.55000305175781,46.599998474121094
2019-07-16,47.66999816894531,140.14999389648438,273.8999938964844,199.10000610351562,156.43499755859375,166.89999389648438,145.25,30.850000381469727,114.94999694824219,47.25
2019-07-17,47.56999969482422,138.0500030517578,271.8999938964844,203.4499969482422,156.0850067138672,168.64999389648438,144.4499969482422,31.5,114.0,47.150001525878906
2019-07-18,46.65999984741211,134.1999969482422,266.1000061035156,200.5500030517578,152.19500732421875,163.0500030517578,142.8000030517578,31.0,114.6500015258789,45.54999923706055
2019-07-19,45.80500030517578,131.39999389648438,259.04998779296875,196.0,149.9550018310547,161.25,138.6999969482422,29.799999237060547,115.30000305175781,44.599998474121094
2019-07-22,46.55500030517578,131.64999389648438,264.3999938964844,202.39999389648438,149.32000732421875,167.25,143.14999389648438,29.649999618530273,113.55000305175781,46.25
2019-07-23,45.98500061035156,134.0500030517578,263.29998779296875,203.10000610351562,149.02000427246094,168.10000610351562,146.64999389648438,29.950000762939453,114.4000015258789,46.04999923706055
2019-07-24,44.599998474121094,129.8000030517578,255.25,197.25,150.28500366210938,165.0500030517578,135.35000610351562,30.0,111.6500015258789,43.599998474121094
2019-07-25,44.03499984741211,129.39999389648438,248.64999389648438,196.75,146.64500427246094,171.4499969482422,135.10000610351562,29.899999618530273,108.44999694824219,43.150001525878906
2019-07-26,44.54999923706055,131.85000610351562,249.6999969482422,198.0,145.18499755859375,164.10000610351562,138.0500030517578,30.899999618530273,111.25,45.20000076293945
2019-07-29,43.345001220703125,129.4499969482422,241.39999389648438,193.25,139.9250030517578,155.64999389648438,136.10000610351562,29.450000762939453,109.44999694824219,44.20000076293945
2019-07-30,41.505001068115234,125.3499984741211,230.25,190.10000610351562,135.52499389648438,150.60000610351562,130.14999389648438,29.049999237060547,107.30000305175781,41.599998474121094
2019-07-31,43.20500183105469,128.8000030517578,237.4499969482422,190.5500030517578,139.2899932861328,154.10000610351562,135.10000610351562,29.600000381469727,108.69999694824219,42.75
2019-08-01,42.0,125.44999694824219,225.25,182.75,138.48500061035156,145.4499969482422,128.64999389648438,29.100000381469727,108.6500015258789,42.099998474121094
2019-08-02,40.90999984741211,128.10000610351562,225.14999389648438,180.39999389648438,134.44500732421875,143.0,119.44999694824219,28.75,105.5,40.900001525878906
2019-08-05,39.92499923706055,124.69999694824219,217.6999969482422,175.75,135.25,140.6999969482422,112.55000305175781,28.200000762939453,101.8499984741211,39.900001525878906
2019-08-06,40.15999984741211,128.1999969482422,217.5500030517578,180.6999969482422,135.01499938964844,140.8000030517578,114.5999984741211,29.850000381469727,104.69999694824219,40.54999923706055
2019-08-07,38.189998626708984,125.5999984741211,212.25,176.39999389648438,132.07000732421875,136.64999389648438,102.25,30.799999237060547,101.5999984741211,39.04999923706055
2019-08-08,36.7400016784668,130.89999389648438,221.6999969482422,181.0500030517578,132.68499755859375,138.6999969482422,100.19999694824219,29.200000762939453,101.94999694824219,38.849998474121094
2019-08-09,36.23500061035156,132.39999389648438,220.60000610351562,176.1999969482422,132.52000427246094,141.5,99.69999694824219,29.899999618530273,101.8499984741211,38.79999923706055
2019-08-13,34.869998931884766,130.3000030517578,220.14999389648438,176.25,129.27499389648438,139.75,94.80000305175781,29.899999618530273,101.19999694824219,36.45000076293945
2019-08-14,36.46500015258789,130.64999389648438,227.75,180.60000610351562,127.5999984741211,146.5500030517578,103.80000305175781,30.850000381469727,104.6500015258789,37.0
2019-08-16,36.30500030517578,132.85000610351562,227.14999389648438,179.8000030517578,132.44000244140625,144.39999389648438,103.80000305175781,31.049999237060547,102.8499984741211,36.20000076293945
2019-08-19,35.95500183105469,135.5,226.1999969482422,181.14999389648438,129.88499450683594,144.3000030517578,104.80000305175781,31.149999618530273,101.9000015258789,36.04999923706055
2019-08-20,35.82500076293945,135.64999389648438,224.85000610351562,179.39999389648438,128.69500732421875,142.39999389648438,104.0,29.399999618530273,90.1500015258789,34.650001525878906
2019-08-21,34.29999923706055,131.89999389648438,219.0,177.0500030517578,129.47000122070312,139.9499969482422,98.9000015258789,28.399999618530273,86.3499984741211,31.850000381469727
2019-08-22,33.369998931884766,126.9000015258789,217.0,176.5500030517578,127.69999694824219,129.0500030517578,96.94999694824219,28.299999237060547,78.69999694824219,30.049999237060547
2019-08-23,34.525001525878906,131.3000030517578,220.64999389648438,180.25,130.13499450683594,137.39999389648438,101.94999694824219,29.600000381469727,80.05000305175781,31.350000381469727
2019-08-26,33.80500030517578,135.1999969482422,214.10000610351562,178.75,127.2300033569336,135.0500030517578,101.1500015258789,30.049999237060547,79.5,31.899999618530273
2019-08-27,35.09000015258789,137.14999389648438,213.39999389648438,181.1999969482422,130.34500122070312,138.10000610351562,104.05000305175781,30.25,83.80000305175781,32.849998474121094
2019-08-28,33.69499969482422,135.9499969482422,205.75,178.39999389648438,127.53500366210938,132.35000610351562,95.80000305175781,29.850000381469727,81.0,31.100000381469727
2019-08-29,33.55500030517578,132.35000610351562,211.9499969482422,179.6999969482422,126.42500305175781,135.75,94.05000305175781,30.450000762939453,79.55000305175781,31.299999237060547
2019-08-30,34.4900016784668,137.35000610351562,217.4499969482422,184.4499969482422,132.52499389648438,139.14999389648438,96.5999984741211,31.149999618530273,83.1500015258789,31.200000762939453
2019-09-03,33.13999938964844,135.25,210.14999389648438,178.39999389648438,128.19500732421875,134.14999389648438,92.80000305175781,30.299999237060547,80.5,30.450000762939453
2019-09-04,33.92499923706055,134.9499969482422,214.8000030517578,181.64999389648438,129.19000244140625,136.6999969482422,95.55000305175781,30.100000381469727,79.5999984741211,32.25
2019-09-05,34.51499938964844,135.75,216.25,184.60000610351562,127.3499984741211,139.3000030517578,96.0999984741211,30.25,81.05000305175781,32.45000076293945
