,SBIN.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,INDIANB.NS,BANKINDIA.NS,MAHABANK.NS,IOB.NS,CENTRALBK.NS
2019-07-01,361.54998779296875,121.25,80.8499984741211,285.3500061035156,83.5,258.8999938964844,90.69999694824219,15.949999809265137,12.100000381469727,20.75
2019-07-02,364.5,120.5,80.3499984741211,283.1499938964844,82.5999984741211,256.75,90.19999694824219,15.600000381469727,11.949999809265137,20.700000762939453
2019-07-03,366.1499938964844,125.5,81.25,287.75,83.75,258.79998779296875,92.5,16.0,12.149999618530273,20.75
2019-07-04,367.3999938964844,129.39999389648438,82.05000305175781,287.1499938964844,84.8499984741211,260.1499938964844,94.5,16.5,12.649999618530273,20.75
2019-07-05,370.6499938964844,130.4499969482422,81.80000305175781,291.1499938964844,84.0999984741211,256.79998779296875,93.94999694824219,16.649999618530273,12.75,20.799999237060547
2019-07-08,355.29998779296875,124.6500015258789,72.80000305175781,269.95001220703125,77.05000305175781,241.4499969482422,84.44999694824219,16.049999237060547,12.199999809265137,20.0
2019-07-09,359.5,125.9000015258789,74.3499984741211,275.25,78.1500015258789,242.6999969482422,85.5999984741211,16.0,12.050000190734863,19.850000381469727
2019-07-10,354.20001220703125,124.25,72.75,275.29998779296875,77.05000305175781,243.60000610351562,85.30000305175781,16.0,12.100000381469727,19.850000381469727
2019-07-11,363.20001220703125,126.0,74.55000305175781,280.3999938964844,78.44999694824219,243.85000610351562,86.8499984741211,16.049999237060547,12.199999809265137,19.850000381469727
2019-07-12,363.6000061035156,125.94999694824219,75.4000015258789,284.3999938964844,78.55000305175781,242.25,87.05000305175781,15.899999618530273,12.25,19.850000381469727
2019-07-15,360.04998779296875,122.0,73.44999694824219,273.8999938964844,74.69999694824219,236.5,83.94999694824219,15.800000190734863,12.0,19.799999237060547
2019-07-16,364.3500061035156,124.19999694824219,75.75,276.6499938964844,77.55000305175781,232.64999389648438,84.9000015258789,15.850000381469727,12.0,19.649999618530273
2019-07-17,372.3999938964844,127.30000305175781,75.3499984741211,280.20001220703125,77.4000015258789,230.89999389648438,84.9000015258789,15.850000381469727,12.100000381469727,19.549999237060547
2019-07-18,363.6499938964844,121.3499984741211,73.19999694824219,268.5,74.94999694824219,226.3000030517578,82.1500015258789,15.5,12.0,19.450000762939453
2019-07-19,356.0,118.0,72.80000305175781,265.3500061035156,73.9000015258789,221.6999969482422,80.1500015258789,14.899999618530273,11.699999809265137,18.950000762939453
2019-07-22,350.8500061035156,118.3499984741211,72.5,264.3500061035156,74.6500015258789,217.89999389648438,80.6500015258789,14.600000381469727,11.699999809265137,18.5
2019-07-23,342.20001220703125,112.5,68.4000015258789,256.20001220703125,72.4000015258789,223.39999389648438,78.6500015258789,14.449999809265137,11.699999809265137,18.399999618530273
2019-07-24,339.6000061035156,110.19999694824219,68.19999694824219,248.10000610351562,70.6500015258789,217.3000030517578,76.5,14.350000381469727,11.399999618530273,17.600000381469727
2019-07-25,341.29998779296875,109.55000305175781,66.05000305175781,239.25,69.9000015258789,212.6999969482422,75.4000015258789,14.25,11.350000381469727,18.350000381469727
2019-07-26,342.6000061035156,112.55000305175781,68.0,240.35000610351562,70.1500015258789,212.89999389648438,76.05000305175781,14.5,11.399999618530273,18.200000762939453
2019-07-29,343.79998779296875,109.0,69.30000305175781,239.8000030517578,70.4000015258789,210.0500030517578,75.69999694824219,14.199999809265137,11.25,18.0
2019-07-30,327.54998779296875,102.6500015258789,66.9000015258789,232.25,67.0,185.14999389648438,70.80000305175781,13.25,11.100000381469727,17.700000762939453
2019-07-31,332.20001220703125,106.69999694824219,69.19999694824219,236.39999389648438,67.5999984741211,186.60000610351562,72.19999694824219,12.899999618530273,11.199999809265137,17.600000381469727
2019-08-01,317.1499938964844,105.55000305175781,67.5,231.6999969482422,65.5999984741211,187.10000610351562,70.19999694824219,12.75,11.050000190734863,17.549999237060547
2019-08-02,308.45001220703125,104.9000015258789,67.6500015258789,232.6999969482422,64.69999694824219,183.89999389648438,69.75,12.800000190734863,10.899999618530273,17.600000381469727
2019-08-05,300.25,103.1500015258789,66.5999984741211,228.9499969482422,64.94999694824219,189.60000610351562,68.94999694824219,12.25,10.649999618530273,17.0
2019-08-06,301.3999938964844,104.19999694824219,67.94999694824219,232.1999969482422,65.55000305175781,200.0,69.9000015258789,12.25,10.649999618530273,17.399999618530273
2019-08-07,289.8999938964844,97.5999984741211,64.05000305175781,225.25,63.54999923706055,198.85000610351562,66.75,12.25,10.699999809265137,20.0
2019-08-08,294.3500061035156,100.05000305175781,66.6500015258789,227.85000610351562,64.3499984741211,194.6999969482422,68.8499984741211,12.149999618530273,10.550000190734863,20.100000381469727
2019-08-09,291.3500061035156,99.8499984741211,66.55000305175781,228.5500030517578,64.75,196.14999389648438,68.05000305175781,12.149999618530273,10.550000190734863,20.149999618530273
2019-08-13,283.3500061035156,98.0999984741211,65.3499984741211,221.1999969482422,62.95000076293945,185.0,66.69999694824219,12.050000190734863,10.350000381469727,19.200000762939453
2019-08-14,289.75,101.0999984741211,65.55000305175781,225.3000030517578,63.150001525878906,183.5500030517578,67.75,11.899999618530273,10.199999809265137,18.850000381469727
2019-08-16,290.8999938964844,102.44999694824219,68.0999984741211,236.0,64.3499984741211,183.89999389648438,69.4000015258789,11.949999809265137,10.149999618530273,18.799999237060547
2019-08-19,286.8500061035156,102.5999984741211,67.30000305175781,231.10000610351562,64.1500015258789,183.5500030517578,69.0,11.899999618530273,10.0,19.5
