,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2019-07-01,1256.935546875,161.0,376.20001220703125,101.0999984741211,104.23332977294922,172.0,282.54998779296875,248.10000610351562,304.8999938964844
2019-07-02,1266.494873046875,165.64999389648438,378.5,103.13333129882812,103.78333282470703,175.5500030517578,285.8500061035156,245.39999389648438,311.3500061035156
2019-07-03,1270.5068359375,166.3000030517578,381.20001220703125,104.0999984741211,101.75,174.25,287.95001220703125,249.5,302.1499938964844
2019-07-04,1271.9432373046875,167.10000610351562,380.0,104.36666870117188,102.5999984741211,174.10000610351562,288.6499938964844,252.64999389648438,302.5
2019-07-05,1251.4871826171875,161.5,370.04998779296875,101.46666717529297,102.13333129882812,167.35000610351562,287.5,248.64999389648438,297.45001220703125
2019-07-08,1240.293212890625,152.39999389648438,360.8500061035156,96.03333282470703,100.69999694824219,163.4499969482422,283.1000061035156,245.85000610351562,297.1000061035156
2019-07-09,1268.079833984375,153.39999389648438,360.1000061035156,100.93333435058594,98.06666564941406,164.39999389648438,287.8999938964844,241.9499969482422,303.8999938964844
2019-07-10,1266.841552734375,151.64999389648438,349.6000061035156,98.76666259765625,96.63333129882812,163.25,286.70001220703125,244.1999969482422,304.29998779296875
2019-07-11,1269.5162353515625,153.10000610351562,350.54998779296875,98.5999984741211,98.30000305175781,163.89999389648438,286.6000061035156,250.25,305.79998779296875
2019-07-12,1268.47607421875,149.6999969482422,345.75,97.9000015258789,97.76666259765625,163.1999969482422,281.5,248.1999969482422,310.3500061035156
2019-07-15,1264.117431640625,150.6999969482422,347.3999938964844,96.93333435058594,97.0,163.14999389648438,286.25,246.0500030517578,314.75
2019-07-16,1280.8587646484375,152.25,354.45001220703125,98.03333282470703,98.23332977294922,172.14999389648438,295.70001220703125,249.1999969482422,320.20001220703125
2019-07-17,1269.8134765625,149.89999389648438,352.79998779296875,97.9000015258789,95.5999984741211,175.5,297.0,251.10000610351562,319.04998779296875
2019-07-18,1250.001220703125,143.39999389648438,349.25,98.4000015258789,94.63333129882812,169.9499969482422,291.20001220703125,244.0500030517578,319.6000061035156
2019-07-19,1237.2718505859375,143.89999389648438,351.0,97.66666412353516,91.73332977294922,164.25,292.25,241.9499969482422,322.8500061035156
2019-07-22,1268.47607421875,146.64999389648438,353.5,98.63333129882812,92.0,164.60000610351562,293.70001220703125,241.6999969482422,316.1499938964844
2019-07-23,1261.5914306640625,144.60000610351562,359.04998779296875,98.23332977294922,92.4000015258789,163.5,290.29998779296875,240.8000030517578,324.3500061035156
2019-07-24,1247.277099609375,143.60000610351562,349.1000061035156,98.63333129882812,91.0999984741211,161.3000030517578,278.6000061035156,234.64999389648438,308.70001220703125
2019-07-25,1219.936279296875,143.85000610351562,340.29998779296875,97.76666259765625,89.83333587646484,160.35000610351562,266.75,232.3000030517578,314.8500061035156
2019-07-26,1202.4024658203125,141.89999389648438,343.79998779296875,94.53333282470703,88.63333129882812,160.85000610351562,275.3500061035156,237.89999389648438,305.75
2019-07-29,1199.5792236328125,140.35000610351562,342.20001220703125,92.16666412353516,87.5999984741211,159.6999969482422,268.8999938964844,236.10000610351562,304.1499938964844
2019-07-30,1169.8114013671875,138.75,335.5,89.0,86.0999984741211,157.5500030517578,258.29998779296875,233.1999969482422,299.95001220703125
2019-07-31,1155.2989501953125,138.85000610351562,345.5,92.86666870117188,85.9000015258789,153.0500030517578,266.04998779296875,236.4499969482422,303.1000061035156
2019-08-01,1169.16748046875,136.89999389648438,343.6499938964844,91.30000305175781,85.73332977294922,152.75,263.3999938964844,235.6999969482422,304.1499938964844
2019-08-02,1173.22900390625,134.35000610351562,342.45001220703125,90.16666412353516,85.0999984741211,153.89999389648438,253.39999389648438,235.5,308.79998779296875
2019-08-05,1132.6138916015625,131.3000030517578,339.0,88.16666412353516,81.96666717529297,149.60000610351562,255.5,236.60000610351562,301.3999938964844
2019-08-06,1117.705322265625,131.4499969482422,345.29998779296875,88.26666259765625,82.23332977294922,154.5500030517578,253.5500030517578,231.89999389648438,310.3500061035156
2019-08-07,1098.9827880859375,130.5,331.1000061035156,86.0,81.13333129882812,156.9499969482422,244.4499969482422,235.5500030517578,310.45001220703125
2019-08-08,1141.5294189453125,130.85000610351562,343.5,87.23332977294922,81.30000305175781,160.8000030517578,250.39999389648438,239.4499969482422,311.8999938964844
2019-08-09,1151.1878662109375,130.9499969482422,346.45001220703125,87.0,82.56666564941406,157.64999389648438,247.10000610351562,238.60000610351562,310.95001220703125
2019-08-13,1262.7801513671875,127.75,343.1000061035156,83.93333435058594,84.0,152.6999969482422,240.6999969482422,240.3000030517578,309.25
2019-08-14,1276.1533203125,126.8499984741211,354.45001220703125,84.30000305175781,84.5,153.4499969482422,246.60000610351562,244.3000030517578,316.3999938964844
2019-08-16,1265.9996337890625,127.9000015258789,351.20001220703125,84.16666412353516,86.43333435058594,153.14999389648438,245.5,241.3000030517578,327.1000061035156
2019-08-19,1280.4625244140625,126.30000305175781,347.0,83.86666870117188,84.86666870117188,152.8000030517578,244.6999969482422,237.5500030517578,325.70001220703125
2019-08-20,1263.9688720703125,125.05000305175781,342.25,82.80000305175781,84.9000015258789,155.14999389648438,241.60000610351562,236.5,327.25
2019-08-21,1259.0157470703125,121.19999694824219,327.79998779296875,80.69999694824219,81.66666412353516,152.10000610351562,238.75,238.89999389648438,326.25
