,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2019-07-31,178.14999389648438,952.9500122070312,643.4000244140625,,549.5999755859375,255.0500030517578,174.39999389648438,124.58333587646484,88.5999984741211,547.2000122070312
2019-08-01,172.39999389648438,941.5999755859375,647.7000122070312,,562.5499877929688,260.6499938964844,172.1999969482422,124.1500015258789,85.05000305175781,520.5999755859375
2019-08-02,171.8000030517578,936.5499877929688,634.75,,552.5499877929688,259.3999938964844,174.86666870117188,125.18333435058594,81.5999984741211,516.0499877929688
2019-08-05,164.89999389648438,912.5499877929688,625.3499755859375,,549.0999755859375,264.0,179.8333282470703,122.9000015258789,80.1500015258789,502.45001220703125
2019-08-06,168.25,928.0,626.4500122070312,,561.5999755859375,270.25,181.06666564941406,124.6500015258789,83.75,506.1499938964844
2019-08-07,165.89999389648438,918.7000122070312,634.3499755859375,,550.0999755859375,278.79998779296875,181.56666564941406,127.6500015258789,69.75,503.6000061035156
2019-08-08,171.8000030517578,908.6500244140625,646.5,,552.6500244140625,287.5,181.3000030517578,128.6666717529297,75.05000305175781,510.75
2019-08-09,175.64999389648438,903.7000122070312,641.25,,548.2000122070312,285.8500061035156,178.53334045410156,128.81666564941406,79.0999984741211,528.5
2019-08-13,173.75,902.9000244140625,650.5999755859375,,536.25,282.8999938964844,176.76666259765625,124.58333587646484,78.3499984741211,500.70001220703125
2019-08-14,174.89999389648438,901.7999877929688,647.7999877929688,,537.5999755859375,283.3500061035156,178.36666870117188,128.10000610351562,80.0999984741211,485.6000061035156
2019-08-16,177.64999389648438,916.3499755859375,636.5999755859375,,534.9000244140625,282.20001220703125,180.5,125.88333129882812,79.9000015258789,473.95001220703125
2019-08-19,178.9499969482422,905.7999877929688,634.75,,545.5,297.75,183.10000610351562,128.71665954589844,77.1500015258789,470.3999938964844
2019-08-20,177.3000030517578,903.9500122070312,628.7000122070312,,525.5999755859375,294.8999938964844,184.46665954589844,129.26666259765625,74.5999984741211,473.54998779296875
2019-08-21,171.60000610351562,898.0999755859375,641.0999755859375,,512.5999755859375,289.5,181.39999389648438,123.86666870117188,71.25,464.1000061035156
2019-08-22,144.4499969482422,889.5,631.6500244140625,,484.54998779296875,293.0,177.1999969482422,122.73332977294922,67.1500015258789,451.45001220703125
2019-08-23,152.10000610351562,891.6500244140625,624.4500122070312,,460.75,284.29998779296875,177.86666870117188,123.28333282470703,66.75,470.0
2019-08-26,159.60000610351562,899.7000122070312,636.8499755859375,,487.8999938964844,289.95001220703125,180.6999969482422,123.8499984741211,71.6500015258789,500.70001220703125
2019-08-27,160.75,893.0499877929688,696.5499877929688,,491.25,290.79998779296875,185.23333740234375,123.93333435058594,72.5,502.79998779296875
2019-08-28,164.1999969482422,891.9000244140625,683.7999877929688,,538.3499755859375,295.79998779296875,200.39999389648438,122.69999694824219,72.0,526.5499877929688
2019-08-29,165.10000610351562,900.2000122070312,685.25,,549.5,294.20001220703125,199.35000610351562,122.94999694824219,67.44999694824219,537.75
2019-08-30,168.14999389648438,900.6500244140625,696.0,,567.9500122070312,295.54998779296875,199.6999969482422,122.96666717529297,67.8499984741211,535.7000122070312
2019-09-03,163.5500030517578,900.0499877929688,685.2999877929688,,540.5499877929688,290.25,197.8000030517578,120.81666564941406,65.19999694824219,534.7000122070312
2019-09-04,163.9499969482422,892.6500244140625,670.1500244140625,,533.75,299.6499938964844,197.0,123.9000015258789,65.9000015258789,534.75
2019-09-05,159.35000610351562,882.2999877929688,653.4000244140625,,514.4000244140625,295.04998779296875,197.9499969482422,126.0999984741211,66.1500015258789,529.9000244140625
2019-09-06,154.25,885.75,683.3499755859375,,500.70001220703125,298.95001220703125,198.14999389648438,129.56666564941406,65.1500015258789,524.4000244140625
2019-09-09,154.1999969482422,895.0,695.2000122070312,,513.5499877929688,297.5,197.10000610351562,132.3333282470703,64.30000305175781,526.6500244140625
2019-09-11,160.39999389648438,954.9000244140625,696.9000244140625,,564.2999877929688,302.8500061035156,196.1999969482422,133.6666717529297,64.3499984741211,531.25
2019-09-12,159.6999969482422,941.0499877929688,696.0499877929688,,544.5499877929688,304.3999938964844,196.60000610351562,134.26666259765625,65.25,529.0499877929688
2019-09-13,166.0500030517578,958.0999755859375,698.0999755859375,,546.8499755859375,308.6499938964844,198.0,135.5833282470703,63.849998474121094,529.3499755859375
2019-09-16,161.75,953.25,722.0,,539.8499755859375,300.29998779296875,194.75,136.39999389648438,64.6500015258789,525.0
2019-09-17,155.60000610351562,940.7000122070312,695.0499877929688,,515.5,275.75,192.5500030517578,132.11666870117188,62.29999923706055,499.8999938964844
2019-09-18,157.14999389648438,928.0999755859375,727.75,,524.0,295.3500061035156,191.10000610351562,130.85000610351562,60.599998474121094,520.8499755859375
2019-09-19,155.39999389648438,906.6500244140625,712.75,,526.9000244140625,286.8999938964844,191.35000610351562,130.93333435058594,57.95000076293945,505.29998779296875
2019-09-20,168.3000030517578,961.25,716.5999755859375,,531.7999877929688,302.3999938964844,194.14999389648438,129.4499969482422,59.650001525878906,504.45001220703125
2019-09-23,167.6999969482422,1015.2999877929688,729.9000244140625,,556.9000244140625,304.79998779296875,201.64999389648438,135.3333282470703,59.25,538.9000244140625
2019-09-24,167.25,1009.8499755859375,710.9500122070312,,546.2999877929688,295.45001220703125,196.6999969482422,136.18333435058594,59.599998474121094,518.25
2019-09-25,155.75,1012.5,717.6500244140625,,521.2000122070312,287.1000061035156,193.85000610351562,136.63333129882812,57.25,503.1000061035156
2019-09-26,161.75,1093.5,715.0499877929688,,520.0999755859375,293.04998779296875,198.14999389648438,136.76666259765625,56.45000076293945,506.3500061035156
2019-09-27,158.35000610351562,1062.0999755859375,687.7999877929688,,505.95001220703125,289.75,202.5,141.25,51.0,502.29998779296875
2019-09-30,155.60000610351562,1038.699951171875,697.4500122070312,,507.6000061035156,288.79998779296875,215.35000610351562,139.5,45.900001525878906,489.1000061035156
2019-10-01,144.1999969482422,983.25,695.2999877929688,,490.3999938964844,284.3999938964844,204.4499969482422,139.8000030517578,43.650001525878906,475.1499938964844
2019-10-03,149.89999389648438,1006.5499877929688,695.6500244140625,,489.8500061035156,286.25,208.60000610351562,142.48333740234375,41.5,459.04998779296875
2019-10-04,147.35000610351562,1001.5999755859375,704.9500122070312,,488.3999938964844,271.3500061035156,204.60000610351562,143.51666259765625,40.099998474121094,446.95001220703125
2019-10-07,143.89999389648438,993.25,716.5,,483.8500061035156,274.5,194.0500030517578,141.26666259765625,41.0,431.3500061035156
2019-10-09,147.75,995.25,713.9500122070312,,500.1499938964844,278.75,199.89999389648438,144.1999969482422,43.04999923706055,456.6499938964844
